#{"t_start": 1750231588.921187, "env_id": "None"}
r,l,t
-184.702796,250,18.211787
-124.42968,250,33.131-9-11-60.678268,250,49.808-1-12-166.576672,250,68.2526-176.--125.519625,250,87.45-1-1-1-177.034868,250,106.980-12-1-93.392059,250,125.2849-17-110.874924,250,143.1949-124-106.551763,250,162.480--114-128.845381,250,184.41516-12-91.81211,250,202.964105--152.791262,250,224.381029-6-101.301284,250,242.70667-87-63.085714,250,261.60750-10-107.441839,250,279.41424-18-105.432583,250,297.85782-18-9.385323,166,310.258648--72.635546,250,328.138637
16.926386,75,333.47--61.5-112.281416,250,352.08-62.04-56.213836,250,371.50-79.19-56.542645,250,389.69-122.3-71.115198,250,407.891-173-103.794599,250,426.6930-38.129185,250,432.191865-9-67.938855,250,450.896978-58.-56.306761,250,474.2620-73.-126.777222,250,492.355-36.774887,250,500.876503
-88.712043,250,519.007318
-59.814386,250,537.133657
2.825179,151,548.83273
-8.248859,145,559.443356
-53.920189,250,578.093042
-51.370275,250,596.407561
-102.746284,250,614.91273
-69.584564,250,632.710681
-46.925253,250,651.502297
-72.622668,250,670.940194
-122.576604,250,689.821447
8.471152,43,693.211448
-66.352507,250,711.673654
24.659896,20,712.859197
-66.231699,250,731.428847
-44.02434,250,749.443177
21.61265,51,753.149432--49.539963,250,772.166067--83.405517,250,790.9856936.598856,203,797.215745
25.227284,19,798.818936-48.648438,250,809.218194--24.721386,250,828.878221-4-111.320326,250,847.48838-52-17.693433,217,863.438075
-33.136095,250,881.498949
6.813507,141,892.09027-610.167008,149,902.781206-39.204191,250,916.297044
26.371109,14,917.648293--40.545599,250,944.008108--34.660356,250,963.690796--62.562679,250,983.614401--53.665556,250,1001.38558-82.280737,250,1013.744783
-30.30619,250,1031.72206
-3.986783,137,1042.365505
-41.330965,250,1060.146159
-43.871998,250,1078.012966
14.014612,112,1086.153867
-34.949436,250,1104.291466
-117.498261,250,1122.796441
-32.492638,250,1140.779243
20.617286,53,1144.255888
-60.766974,250,1162.896129
-52.444529,250,1181.1889
21.179817,58,1185.611624
-29.174365,250,1203.347924
19.585932,40,1206.255202
-20.395499,250,1224.839489
-55.619736,228,1241.138256
14.301388,153,1252.15281
25.894128,33,1254.628545
-0.951072,115,1263.68451
-35.042373,230,1282.602247
-79.257288,250,1300.946786
-34.878598,250,1319.027519
6.142976,201,1333.801246
-53.994177,250,1351.94617
-24.07639,185,1365.82055
23.359627,31,1367.580381
-24.474835,250,1386.255497
25.840125,5,1386.304486
25.872056,41,1389.315579
28.412925,15,1390.493989--105.774034,250,1413.286061
-79.637292,250,1431.503122
-30.249927,250,1449.493214
-46.814109,250,1468.191536
-21.014696,250,1486.898381
23.10623,59,1491.228749
-18.279266,250,1509.405058
-4.684341,86,1515.958073
-34.582172,250,1534.319143
23.900307,44,1537.870665
7.587859,110,1545.590789
-28.729145,250,1564.042712
21.537821,90,1571.286986
29.25391,30,1573.691841
25.885462,23,1575.453948
-42.586704,250,1593.808296
24.133753,44,1596.735073
-9.271876,174,1609.681607
-109.72744,250,1628.128196
19.162981,77,1633.987062
20.761496,133,1644.279858
-55.031301,250,1662.33069
3.987899,59,1666.841614
14.474224,66,1671.681727
-21.966346,250,1691.877996
-21.113922,250,1709.833694
13.384517,151,1720.757085
2.074023,138,1730.648321
-16.859974,250,1748.738505
8.328518,241,1766.285067
25.958593,44,1769.815697
8.701969,225,1786.395283
-33.031668,250,1805.297186
1.144794,79,1811.14399
-57.758613,250,1832.929914
28.748912,12,1833.932973
25.91615,24,1835.906824
5.612154,72,1841.064402
-10.904307,63,-39.104165,25-26.105396,250,1863.769793
-29.866283,250,1888.284359
-29.415551,250,1907.009969
-27.40573,250,1925.054449
25.45375,36,1927.484005
26.650674,13,1928.58058
27.772575,38,1931.485687
27.693984,35,1-82.358381,250,1940.970724
29.44-18.902118,250,1948.045611
18.236129,76,1953.926821
29.987603-39.566897,250,1916.894436-47.23545,250,1982.540205
28.133543,8,1983.-83.2609-19.039748,250,2001.-22.545564,250,2007.719124
28.296572,29,20-44.13281,2-28.54522,250,20-143.249897-22.115432,250,2048.413
7.526917,40,2051.1-264.9-21.450379,250,2069.474-36.10.962547,117,2078.1911314.-36.497552,250,2096.371839
-33.944292,250,2115.324277
29.286436,27,2117.725059
2.14015,125,2127.267196
27.357458,27,2129.649362
26.156274,39,2132.910993
-15.88932,250,2150.978174
-156.996902,250,2170.281149
18.872871,126,2179.595259
24.945376,60,2184.029629
29.262269,24,2185.799754
-11.042771,103,2193.461764
-53.992765,250,2212.168673
